[enrich] 995 cases to enrich (skipping 5 already up-to-date)
[1/995] BookMyShow Booking Decline Investigation           ✓ enriched in 150.7s → data/dossiers/3916821b-4473-4826-85ac-cb95878b97c1.json
[329/995] Commercial Bank Profitability                      ✗ fetch failed
[330/995] E-commerce Player E-pharmacy Market Entry          ✗ fetch failed
[331/995] Square Enix Financial Notes and Accounts Receivabl ✗ fetch failed
[332/995] Allsafe Insurance M&A Case                         ✗ fetch failed
[333/995] Hamm's University Profitability Decline            ✗ fetch failed
[334/995] Switching Costs                                    ✗ fetch failed
[335/995] Fintech in UAE Market                              ✗ fetch failed
[336/995] Microsoft Teams Customer Value Proposition         ✗ fetch failed
[337/995] French Museum                                      ✗ fetch failed
[338/995] Mega Pharma Store Closure Analysis                 ✗ fetch failed
[339/995] Chic Cosmetology                                   ✗ fetch failed
[340/995] CASE 17                                            ✓ enriched in 3.9s → data/dossiers/749c48b1-ad6f-4b55-a13c-b6462f9186e1.json
[341/995] High Q Plastics                                    ✗ fetch failed
[342/995] Pharmaceutical Pricing for AIDS Drug in Developing ✗ fetch failed
[343/995] Anti-Smoking Pills                                 ✗ fetch failed
[344/995] CPG Company Food Service Growth                    ✗ fetch failed
[345/995] Kellogg in India                                   ✗ fetch failed
[346/995] The Vitamin Store                                  ✗ fetch failed
[347/995] Meditest                                           ✗ fetch failed
[348/995] Pump Manufacturer                                  ✗ fetch failed
[349/995] Ferris Wheel                                       ✗ fetch failed
[350/995] Winter Olympics Bidding                            ✗ fetch failed
[351/995] Current Revenues and Costs                         ✗ fetch failed
[352/995] Public Sector Bank Profitability                   ✗ fetch failed
[353/995] IT Company Talent Management                       ✗ fetch failed
[354/995] Wildcat Wings                                      ✗ fetch failed
[355/995] Syzygy Supercomputers                              ✗ fetch failed
[356/995] Bell Computer Inc.                                 ✗ fetch failed
[357/995] Gift Wrapping Paper Outsourcing Decision           ✗ fetch failed
[358/995] After School Programming                           ✗ fetch failed
[359/995] Primary Investment vs. M&A (Quantitative)          ✗ fetch failed
[360/995] Retail Bank Private Division Growth                ✗ fetch failed
[361/995] FMCG: Supply Chain                                 ✗ fetch failed
[362/995] Food Processing Industry                           ✗ fetch failed
[363/995] Car Insurance Direct Sales                         ✗ fetch failed
[364/995] HVAC Service Provider (II of II)                   ✗ fetch failed
[365/995] Hospitality Co                                     ✗ fetch failed
[366/995] Guesstimate 4: Estimate the value of a coffin make ✗ fetch failed
[367/995] Estimate the revenue of tourism in Gujarat in peak ✗ fetch failed
[368/995] Ad Tech                                            ✗ fetch failed
[369/995] Potash Corporation Profitability Case              ✗ fetch failed
[370/995] CASE 14                                            ✗ fetch failed
[371/995] The Robbery                                        ✗ fetch failed
[372/995] TV Screens – Supply Chain Pricing                  ✗ fetch failed
[373/995] Logistics Company Cost Reduction                   ✗ fetch failed
[374/995] Keeping the Company Intact                         ✗ fetch failed
[375/995] Logistics Industry                                 ✗ fetch failed
[376/995] CAE Inc. Growth Strategy                           ✗ fetch failed
[377/995] Who Needs Flight Simulators?                       ✗ fetch failed
[378/995] Go Green Strategy                                  ✗ fetch failed
[379/995] PC Manufacturer Direct Sales Channel Strategy      ✗ fetch failed
[380/995] Forever Diamond Canadian Market Entry              ✗ fetch failed
[381/995] Harris's Decision                                  ✗ fetch failed
[382/995] Zootopia                                           ✗ fetch failed
[383/995] Job Portal for Migrant Workers in India            ✗ fetch failed
[384/995] BrowserStack                                       ✗ fetch failed
[385/995] Unilever Logistics Cost Reduction                  ✗ fetch failed
[386/995] Sony Group Corporation History and Development     ✗ fetch failed
[387/995] CFA Institute Research Challenge Guidelines        ✗ fetch failed
[388/995] Hong Kong Port (V of VII)                          ✗ fetch failed
[389/995] Multi-Purpose Tool (I of II)                       ✗ fetch failed
[390/995] Electronics Manufacturing Industry                 ✗ fetch failed
[391/995] Online Medicine Delivery Market Sizing             ✗ fetch failed
[392/995] HealthifyMe SignUp                                 ✗ fetch failed
[393/995] United States Healthcare (I of II)                 ✗ fetch failed
[394/995] Software Product (II of IV)                        ✗ fetch failed
[395/995] Software Product (IV of IV)                        ✗ fetch failed
[396/995] Regulus Solar Power Inc.: Price Demand Elasticitie ✗ fetch failed
[397/995] Cheesy Situation                                   ✗ fetch failed
[398/995] Beijing International Airport                      ✗ fetch failed
[399/995] H Health                                           ✗ fetch failed
[400/995] GasCo Pipeline Joint Venture                       ✗ fetch failed
[401/995] Insurance Company Acquisition                      ✗ fetch failed
[402/995] Buyout PE Fund Investment                          ✗ fetch failed
[403/995] Software Product (III of IV)                       ✗ fetch failed
[404/995] Financial Data and Stock Option Disclosures        ✗ fetch failed
[405/995] Copper Ore Mining Investment                       ✗ fetch failed
[406/995] Sheep Auction (III of VI)                          ✗ fetch failed
[407/995] Revenue Estimation for a Retailer with Mall and Fl ✗ fetch failed
[408/995] ON Court Digital Transformation in Kollam: Overcom ✗ fetch failed
[409/995] School Buses (I of II)                             ✗ fetch failed
[410/995] Tissue Paper (I of II)                             ✗ fetch failed
[411/995] Charcuterie Processor (I of III)                   ✗ fetch failed
[412/995] The Digital Docket Paradox: Bridging the Chasm Bet ✗ fetch failed
[413/995] LinkedIn Analysis                                  ✗ fetch failed
[414/995] School Buses (II of II)                            ✗ fetch failed
[415/995] Bakery Shop                                        ✗ fetch failed
[416/995] Vitality Insurance, Inc.                           ✗ fetch failed
[417/995] Retailer Discounting (I of II)                     ✗ fetch failed
[418/995] Powder, Energy Bars and Protein Bars Market        ✗ fetch failed
[419/995] Sony Group Corporation Other Comprehensive Income  ✗ fetch failed
[420/995] PC Manufacturer Direct Selling Strategy            ✗ fetch failed
[421/995] Candy Manufacturing                                ✗ fetch failed
[422/995] Chickflix.com                                      ✗ fetch failed
[423/995] Business Class Airline                             ✗ fetch failed
[424/995] Everlasting Light Bulb                             ✗ fetch failed
[425/995] Mexican Dishes                                     ✗ fetch failed
[426/995] Wharton Casebook 2017 Case 8                       ✗ fetch failed
[427/995] YouTube Average Viewing Time                       ✗ fetch failed
[428/995] Fine China                                         ✗ fetch failed
[429/995] The End of the Road                                ✗ fetch failed
[430/995] Byju's Investment Opportunity                      ✗ fetch failed
[431/995] UPS in Italy                                       ✗ fetch failed
[432/995] Parking Meter Revenue Estimation                   ✗ fetch failed
[433/995] Design an enterprise-level chatbot                 ✗ fetch failed
[434/995] AirJet Inc. Profitability Strategy                 ✗ fetch failed
[435/995] Bun on the Run                                     ✗ fetch failed
